CountryAbbreviation,Medal,MedalCount
ALG,Bronze,27
ALG,Gold,20
ALG,Silver,18
ANG,Bronze,1
ANG,Gold,4
ANG,Silver,3
ARG,Bronze,21
ARG,Gold,8
ARG,Silver,22
AUS,Bronze,336
AUS,Gold,361
AUS,Silver,403
AUT,Bronze,84
AUT,Gold,73
AUT,Silver,99
AZE,Bronze,10
AZE,Gold,4
AZE,Silver,14
BAH,Bronze,3
BAH,Silver,2
BEL,Bronze,70
BEL,Gold,79
BEL,Silver,73
BIH,Gold,23
BIH,Silver,36
BIR,Bronze,1
BIR,Gold,1
BIR,Silver,2
BLR,Bronze,35
BLR,Gold,32
BLR,Silver,33
BOT,Gold,1
BRA,Bronze,114
BRA,Gold,79
BRA,Silver,133
BRN,Bronze,5
BRN,Gold,2
BRN,Silver,3
BUL,Bronze,3
BUL,Gold,5
BUL,Silver,7
CAN,Bronze,303
CAN,Gold,416
CAN,Silver,311
CHI,Gold,1
CHN,Bronze,266
CHN,Gold,659
CHN,Silver,394
CIV,Bronze,1
CIV,Gold,3
CIV,Silver,1
COL,Bronze,12
COL,Gold,3
COL,Silver,8
CPV,Bronze,1
CRO,Bronze,9
CRO,Gold,6
CRO,Silver,8
CUB,Bronze,20
CUB,Gold,33
CUB,Silver,23
CYP,Bronze,1
CYP,Gold,2
CYP,Silver,3
CZE,Bronze,47
CZE,Gold,41
CZE,Silver,55
DEN,Bronze,107
DEN,Gold,89
DEN,Silver,72
DOM,Gold,1
EGY,Bronze,84
EGY,Gold,44
EGY,Silver,59
ESP,Bronze,234
ESP,Gold,208
ESP,Silver,226
EST,Bronze,7
EST,Gold,4
EST,Silver,8
ETH,Silver,2
EUN,Bronze,13
EUN,Gold,16
EUN,Silver,13
FIJ,Gold,1
FIN,Bronze,102
FIN,Gold,63
FIN,Silver,77
FRA,Bronze,416
FRA,Gold,382
FRA,Silver,380
FRG,Bronze,198
FRG,Gold,289
FRG,Silver,218
FRO,Bronze,5
FRO,Gold,1
FRO,Silver,7
GBR,Bronze,483
GBR,Gold,439
GBR,Silver,502
GDR,Bronze,1
GDR,Silver,3
GER,Bronze,282
GER,Gold,270
GER,Silver,306
GRE,Bronze,36
GRE,Gold,18
GRE,Silver,35
HKG,Bronze,79
HKG,Gold,66
HKG,Silver,53
HUN,Bronze,65
HUN,Gold,41
HUN,Silver,69
INA,Bronze,3
INA,Silver,2
IND,Bronze,4
IND,Gold,3
IND,Silver,4
IPP,Bronze,2
IPP,Gold,2
IPP,Silver,2
IRI,Bronze,41
IRI,Gold,116
IRI,Silver,54
IRL,Bronze,77
IRL,Gold,48
IRL,Silver,43
IRQ,Bronze,4
IRQ,Gold,3
IRQ,Silver,6
ISL,Bronze,35
ISL,Gold,15
ISL,Silver,13
ISR,Bronze,63
ISR,Gold,63
ISR,Silver,79
ITA,Bronze,160
ITA,Gold,81
ITA,Silver,132
JAM,Bronze,16
JAM,Gold,10
JAM,Silver,12
JOR,Bronze,16
JOR,Gold,2
JOR,Silver,7
JPN,Bronze,146
JPN,Gold,92
JPN,Silver,104
KAZ,Gold,1
KAZ,Silver,1
KEN,Bronze,13
KEN,Gold,18
KEN,Silver,15
KOR,Bronze,151
KOR,Gold,159
KOR,Silver,137
KSA,Bronze,1
KSA,Gold,1
KSA,Silver,2
KUW,Bronze,20
KUW,Gold,12
KUW,Silver,16
LAO,Bronze,1
LAT,Bronze,6
LAT,Gold,5
LAT,Silver,4
LBA,Bronze,1
LTU,Bronze,13
LTU,Gold,5
LTU,Silver,10
LUX,Bronze,1
LUX,Gold,1
LUX,Silver,4
MAR,Bronze,8
MAR,Gold,12
MAR,Silver,7
MAS,Bronze,4
MAS,Gold,3
MAS,Silver,1
MDA,Bronze,3
MEX,Bronze,94
MEX,Gold,84
MEX,Silver,81
MGL,Bronze,1
MGL,Gold,1
MOZ,Bronze,1
NAM,Bronze,3
NAM,Gold,2
NAM,Silver,3
NED,Bronze,237
NED,Gold,189
NED,Silver,239
NGR,Bronze,18
NGR,Gold,42
NGR,Silver,18
NOR,Bronze,84
NOR,Gold,85
NOR,Silver,88
NZL,Bronze,47
NZL,Gold,66
NZL,Silver,45
PAK,Bronze,1
PAK,Silver,1
PAN,Bronze,1
PAN,Gold,3
PAN,Silver,4
PER,Bronze,2
PER,Gold,2
PER,Silver,1
PHI,Bronze,3
PLE,Bronze,2
PLE,Silver,1
PNG,Silver,1
POL,Bronze,232
POL,Gold,231
POL,Silver,266
POR,Bronze,31
POR,Gold,20
POR,Silver,18
PUR,Bronze,2
PUR,Gold,1
PUR,Silver,2
QAT,Silver,2
RSA,Bronze,47
RSA,Gold,76
RSA,Silver,49
RUS,Bronze,87
RUS,Gold,93
