Year,Gender,Medal,MedalCount
1980,Men,Bronze,324
1980,Men,Gold,360
1980,Men,Silver,339
1980,Mixed,Bronze,2
1980,Mixed,Gold,3
1980,Mixed,Silver,3
1980,Women,Bronze,201
1980,Women,Gold,254
1980,Women,Silver,236
1984,Men,Bronze,522
1984,Men,Gold,563
1984,Men,Silver,550
1984,Mixed,Bronze,1
1984,Mixed,Gold,1
1984,Mixed,Silver,1
1984,Women,Bronze,335
1984,Women,Gold,397
1984,Women,Silver,380
1988,Men,Bronze,565
1988,Men,Gold,567
1988,Men,Silver,565
1988,Mixed,Bronze,4
1988,Mixed,Gold,4
1988,Mixed,Silver,4
1988,Women,Bronze,254
1988,Women,Gold,258
1988,Women,Silver,249
1992,Men,Bronze,449
1992,Men,Gold,413
1992,Men,Silver,412
1992,Women,Bronze,223
1992,Women,Gold,204
1992,Women,Silver,211
1996,Men,Bronze,422
1996,Men,Gold,398
1996,Men,Silver,392
1996,Mixed,Bronze,1
1996,Mixed,Gold,1
1996,Mixed,Silver,1
1996,Women,Bronze,218
1996,Women,Gold,213
1996,Women,Silver,208
2000,Men,Bronze,443
2000,Men,Gold,447
2000,Men,Silver,437
2000,Mixed,Bronze,11
2000,Mixed,Gold,12
2000,Mixed,Silver,12
2000,Women,Bronze,229
2000,Women,Gold,228
2000,Women,Silver,229
2004,Men,Bronze,382
2004,Men,Gold,398
2004,Men,Silver,385
2004,Mixed,Bronze,12
2004,Mixed,Gold,9
2004,Mixed,Silver,12
2004,Women,Bronze,227
2004,Women,Gold,231
2004,Women,Silver,225
2008,Men,Bronze,306
2008,Men,Gold,311
2008,Men,Silver,303
2008,Mixed,Bronze,12
2008,Mixed,Gold,11
2008,Mixed,Silver,11
2008,Women,Bronze,202
2008,Women,Gold,203
2008,Women,Silver,197
2012,Men,Bronze,296
2012,Men,Gold,296
2012,Men,Silver,292
2012,Mixed,Bronze,12
2012,Mixed,Gold,11
2012,Mixed,Silver,12
2012,Unknown,Bronze,24
2012,Unknown,Gold,24
2012,Unknown,Silver,24
2012,Women,Bronze,213
2012,Women,Gold,217
2012,Women,Silver,213
2016,Men,Bronze,279
2016,Men,Gold,284
2016,Men,Silver,278
2016,Mixed,Bronze,25
2016,Mixed,Gold,26
2016,Mixed,Silver,24
2016,Unknown,Bronze,24
2016,Unknown,Gold,24
2016,Unknown,Silver,24
2016,Women,Bronze,238
2016,Women,Gold,243
2016,Women,Silver,240
