Year,Medal,MedalCount
1980,Bronze,527
1980,Gold,617
1980,Silver,578
1984,Bronze,858
1984,Gold,961
1984,Silver,931
1988,Bronze,823
1988,Gold,829
1988,Silver,818
1992,Bronze,672
1992,Gold,617
1992,Silver,623
1996,Bronze,641
1996,Gold,612
1996,Silver,601
2000,Bronze,683
2000,Gold,687
2000,Silver,678
2004,Bronze,621
2004,Gold,638
2004,Silver,622
2008,Bronze,520
2008,Gold,525
2008,Silver,511
2012,Bronze,545
2012,Gold,548
2012,Silver,541
2016,Bronze,566
2016,Gold,577
2016,Silver,566
